worm,1,,
ant,2,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fire_ants_01.jpg/320px-Fire_ants_01.jpg
butterfly,2.5,leopard size: 1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Fesoj_-_Papilio_machaon_%28by%29.jpg/800px-Fesoj_-_Papilio_machaon_%28by%29.jpg
fly,2.5,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Anthomyiidae_sp._1_%28aka%29.jpg/800px-Anthomyiidae_sp._1_%28aka%29.jpg
grasshopper,2.5,,
insect,2.5,coyote size: 2,
mosquito,2.5,ox size: 3,
fish,3,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Georgia_Aquarium_-_Giant_Grouper_edit.jpg/800px-Georgia_Aquarium_-_Giant_Grouper_edit.jpg
goldfish,3,,
salmon,3,moose size: 1,
sardine,3,sheep size: 1,
bee,3.5,reindeer size: 2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Tetragonula_carbonaria_%2814521993792%29.jpg/800px-Tetragonula_carbonaria_%2814521993792%29.jpg
beetle,3.5,,
scorpion,4,elk size: 1,
spider,4,,
cat,5,antelope size: 1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Kittyply_edit1.jpg/1024px-Kittyply_edit1.jpg
hare,5.5,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Side_view_close_up_of_rabbit_sitting_on_gravel_under_brush.jpg/800px-Side_view_close_up_of_rabbit_sitting_on_gravel_under_brush.jpg
rabbit,5.5,shark size: 1,
duck,6,whale size: 2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Duck-iran.JPG/1024px-Duck-iran.JPG
hen,7,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Female_pair.jpg/800px-Female_pair.jpg
rooster,7,tortoise size: 1,
chicken,7,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Rooster_portrait2.jpg/800px-Rooster_portrait2.jpg
hamster,7.5,woodchuck size: 1,
